Investor Details,PARTICULARS,Jun 2022%,Sep 2022%,Dec 2022%,Mar 2023%,Jun 2023%
0,investors,37.04,37.09,37.11,37.14,37.15
1,government pension fund g...,-,-,1.03,1.30,5.37
2,hdfc small cap fund,5.59,5.59,5.61,5.63,5.61
3,icici prudential flexicap...,2.78,2.69,2.67,2.59,2.64
4,investor education and pr...,-,0.26,-,0.27,0.26
5,nippon life india trustee...,2.68,2.68,2.68,2.68,2.66
6,"smallcap world fund, inc",5.67,5.67,5.66,5.30,-
7,investor education and pr...,-,-,0.27,-,-
8,llp,0.09,0.01,-,-,-
9,iepf,0.26,-,-,-,-
