P and L,PARTICULARS,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
0,Net Sales ,6673.14,4977.09,4573.06,4788.19,5417.41
1,Total Expenditure ,6324.79,4770.16,4276.3,4549.79,5084.56
2,Operating Profit ,348.35,206.92,296.76,238.41,332.85
3,Other Income ,65.43,52.63,77.47,85.15,108
4,Interest ,115.88,169.16,75.55,68.67,47.7
5,Depreciation ,38.46,68.01,69.26,63.04,75.42
6,Exceptional Items ,0,0,11.76,-13.23,0
7,Profit Before Tax ,259.44,22.39,241.18,178.61,317.73
8,Tax ,92.37,22.52,57.54,41.83,87.22
9,Profit After Tax ,167.07,-0.13,183.64,136.79,230.51
10,Adjusted EPS (Rs) ,15.92,-0.01,16.03,11.91,20.03
