Promoter Details,PARTICULARS,Jun 2022%,Sep 2022%,Dec 2022%,Mar 2023%,Jun 2023%
0,promoters,62.96,62.91,62.89,62.86,62.85
1,bachhraj & company privat...,-,-,-,-,0.06
2,bachhraj factories privat...,0.09,0.09,0.09,0.09,0.09
3,bajaj holdings and invest...,16.65,16.64,16.64,16.63,16.63
4,bajaj international priva...,0.80,0.80,0.80,0.80,0.80
5,baroda industries private...,1.23,1.23,1.23,1.23,1.23
6,geetika bajaj,1.88,1.88,1.88,1.88,1.88
7,hercules hoists limited,0.54,0.54,0.54,0.54,0.54
8,hind musafir agency limit...,1.12,1.12,1.12,1.12,1.12
9,jamnalal sons private lim...,19.62,19.61,19.60,19.59,19.59
10,kiran bajaj,6.57,6.56,6.56,6.56,6.56
11,kriti bajaj,0.09,0.09,0.09,0.09,0.09
12,kriti bajaj family trust ...,0.44,0.43,0.43,0.43,0.43
13,kumud bajaj,0.17,0.17,0.17,0.17,0.17
14,kumud neelima family trus...,0.11,0.11,0.11,0.11,0.11
15,kumud nimisha family trus...,0.11,0.11,0.11,0.11,0.11
16,madhur bajaj,0.17,0.17,0.17,0.17,0.17
17,madhur neelima family tru...,0.11,0.11,0.11,0.11,0.11
18,madhur nimisha family tru...,0.11,0.11,0.11,0.11,0.11
19,minal bajaj,0.60,0.60,0.60,0.60,0.60
20,neelima bajaj family trus...,0.02,0.02,0.02,0.02,0.02
21,neelima bajaj swamy,0.17,0.17,0.17,0.17,0.17
22,neelima bajaj swamy famil...,0.71,1.26,0.71,0.71,0.71
23,nimisha bajaj family trus...,0.18,0.18,0.18,0.18,0.18
24,nimisha jaipuria family t...,0.55,-,0.55,0.55,0.55
25,niraj bajaj,0.98,0.98,0.98,0.98,0.98
26,niravnayan bajaj,0.25,0.25,0.25,0.25,0.25
27,niravnayan bajaj family t...,0.44,0.43,0.43,0.43,0.43
28,niravnayan trust (niraj b...,0.46,0.46,0.46,0.46,0.46
29,pooja bajaj,1.34,1.34,1.34,1.34,1.34
30,rahul securities private ...,0.41,0.41,0.41,0.41,0.41
31,rishab family trust (raji...,0.41,0.41,0.41,0.41,0.41
32,sanjali family trust (san...,0.23,0.23,0.23,0.23,0.23
33,sanjivnayan bajaj,0.37,0.37,0.37,0.37,0.37
34,shefali bajaj,0.03,0.03,0.03,0.03,0.03
35,shekhar bajaj,1.58,1.58,1.58,1.58,1.58
36,shekhar holdings private ...,0.47,0.47,0.47,0.47,0.47
37,siddhant family trust (sa...,0.23,0.23,0.23,0.23,0.23
38,suman jain,0.10,0.10,0.10,0.10,0.10
39,sunaina kejriwal,1.08,1.08,1.08,1.08,1.08
40,vanraj bajaj,1.60,1.60,1.60,1.60,1.60
41,vanraj bajaj trust (kiran...,0.87,0.87,0.87,0.87,0.87
42,bachhraj & co private lim...,-,-,-,0.06,-
43,bachhraj and company priv...,-,0.06,0.06,-,-
44,bachhraj and company pvt ...,0.06,-,-,-,-
